# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.PhotoListController	showImageList(String,boolean,boolean)	
8A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deletePhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
9A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deleteSingleImageFromRMS(String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
10A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
11A	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
11B	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	showImage(String)	
11C	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
12A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
12B	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
12C	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
12D	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
12E	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	updateImage(lancs.mobilemedia.core.ui.datamodel.ImageData)	
13A	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
13B	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
13C	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
13D	[signaler] ImagePathNotValidException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
14A	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
14B	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
14C	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
14D	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.PhotoController	handleCommand(javax.microedition.lcdui.Command)	
15A	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.ImageUtil	getImageInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)	


# Errors found on analysis....

