# Result of Exception Analysis....

1A	[signaler] NoSuchElementException	org.argouml.util.SingleElementIterator	next(		[handler] Throwable	org.argouml.cognitive.Designer	run(	
3J	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
3K	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
3L	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Throwable	org.argouml.application.Main	main(String[])	
3M	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Throwable	org.argouml.application.Main	main(String[])	
4A	[signaler] RuntimeException	org.argouml.profile.internal.ProfileManagerImpl	ProfileManagerImpl(		[handler] Throwable	org.argouml.application.Main	main(String[])	
5A	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
5B	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
5C	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
5D	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
6A	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	getSupportedDecisions(	CognitiveSupport	[handler] Throwable	org.argouml.cognitive.Designer	run(	
7A	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	addKnowledgeType(String)	CognitiveSupport	[handler] Throwable	org.argouml.application.Main	main(String[])	
8A	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
8B	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
8C	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Throwable	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	
8D	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
8E	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9A	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9B	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9C	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9D	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9E	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
9F	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
9G	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9H	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9I	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9J	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9K	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9L	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9M	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9N	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9O	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9P	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9Q	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9R	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9S	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9T	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9U	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9V	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9W	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9X	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9Y	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9Z	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9[	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9\	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9]	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9^	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
9_	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
9`	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
9a	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
9b	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
9c	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
9d	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
9e	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9f	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9g	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9h	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9i	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9j	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9k	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9l	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10A	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10B	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10C	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10D	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10E	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
10F	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
10G	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10H	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10I	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10J	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10K	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10L	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10M	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10N	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10O	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10P	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10Q	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10R	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10S	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10T	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10U	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10V	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10W	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10X	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10Y	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10Z	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10[	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10\	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10]	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10^	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
10_	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
10`	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
10a	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
10b	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
10c	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
10d	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
10e	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10f	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10g	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10h	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10i	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10j	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10k	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10l	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
11A	[signaler] IllegalArgumentException	org.argouml.cognitive.ResolvedCritic	ResolvedCritic(org.argouml.cognitive.Critic,org.argouml.cognitive.ListSet,boolean)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
11B	[signaler] IllegalArgumentException	org.argouml.cognitive.ResolvedCritic	ResolvedCritic(org.argouml.cognitive.Critic,org.argouml.cognitive.ListSet,boolean)	CognitiveSupport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12A	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12B	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12C	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12D	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12E	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12F	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSupport
12G	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12H	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12I	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12J	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12K	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12L	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12M	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
12N	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSupport
