# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.MediaListController	showMediaList(String,boolean,boolean)	
5K	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] Throwable	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(lancs.mobilemedia.core.ui.datamodel.MediaData,String)	
6A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
6B	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
6C	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
6D	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
6E	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
6F	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
6G	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
6H	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
6I	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
6J	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.MusicMediaUtil	getBytesFromMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] Throwable	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(lancs.mobilemedia.core.ui.datamodel.MediaData,String)	
7A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
7B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
7C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	resetMediaData(	
7D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
7E	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	resetMediaData(	
7F	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
8A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)	
8B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
8C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	resetMediaData(	
8D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
8E	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
9A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	resetMediaData(	
9B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
9C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
9D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
9E	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
10A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaBytesFromRMS(String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	showImage(String)	
10B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaBytesFromRMS(String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	playMultiMedia(String)	
11A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	createNewAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
12A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	deleteAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
13A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	deleteSingleMediaFromRMS(String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
14A	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
14B	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
14C	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
14D	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
14E	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
14F	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.MediaUtil	readMediaAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
15A	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.MediaUtil	getMediaInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)	
15B	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.MediaUtil	getMediaInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
15C	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.MediaUtil	getMediaInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetMediaData(	
15D	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.MediaUtil	getMediaInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
15E	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.MediaUtil	getMediaInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
15F	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.MediaUtil	getMediaInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)	


# Errors found on analysis....

