# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.MediaListController	showMediaList(String,boolean,boolean)	
6D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	addMediaData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
7A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getMedias(String)	
8A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
8B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	updateMediaInfo(lancs.mobilemedia.core.ui.datamodel.MediaData,lancs.mobilemedia.core.ui.datamodel.MediaData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	incrementCountViews(String)	
9A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	loadMediaBytesFromRMS(String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	showImage(String)	
10A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	createNewAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
11A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	deleteAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	
12A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	deleteSingleMediaFromRMS(String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
13A	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	getMediaInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.MediaController	showImage(String)	
13B	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	getMediaInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.MediaController	incrementCountViews(String)	
13C	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	getMediaInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
13D	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	getMediaInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.MediaController	handleCommand(javax.microedition.lcdui.Command)	
14A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.MediaAccessor	createNewAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.AlbumController	handleCommand(javax.microedition.lcdui.Command)	


# Errors found on analysis....

