# Result of Exception Analysis....

1A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.BaseController	showImageList(String,boolean,boolean)	
5B	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
5C	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
5D	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
6A	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
6B	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
6C	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
6D	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
6E	[signaler] InvalidImageDataException	lancs.mobilemedia.core.util.ImageUtil	getBytesFromImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.BaseController	updateImage(lancs.mobilemedia.core.ui.datamodel.ImageData)	
7A	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.ImageUtil	getImageInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)	
8A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	resetImageData(	
8B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
8C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
8D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
9A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageBytesFromRMS(String,String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	showImage(String)	
10A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	updateImageInfo(lancs.mobilemedia.core.ui.datamodel.ImageData,lancs.mobilemedia.core.ui.datamodel.ImageData)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	updateImage(lancs.mobilemedia.core.ui.datamodel.ImageData)	
11A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImages(String)	
12A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deletePhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
13A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deleteSingleImageFromRMS(String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
14A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
15A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	


# Errors found on analysis....

