# Result of Exception Analysis....

1A	[signaler] UnsupportedOperationException	org.argouml.cognitive.critics.CompoundCritic	getSupportedDecisions(	CognitiveSuport	[handler] Throwable	org.argouml.cognitive.Designer	run(	
8C	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
8D	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
8E	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
8F	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
8G	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
8H	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
8I	[signaler] IllegalArgumentException	org.argouml.kernel.Project	setDefaultModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9A	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
9B	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
9C	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
9D	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
9E	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
9F	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
9G	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9H	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
9I	[signaler] IllegalArgumentException	org.argouml.kernel.Project	addMember(java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10A	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
10B	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
10C	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
10D	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
10E	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
10F	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
10G	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10H	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
10I	[signaler] IllegalArgumentException	org.argouml.uml.diagram.DiagramFactory	createDiagram(java.lang.Class,java.lang.Object,java.lang.Object)		[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11A	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
11B	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11C	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11D	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11E	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11F	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11G	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11H	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11I	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11J	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11K	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11L	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11M	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11N	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11O	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11P	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11Q	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11R	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11S	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11T	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11U	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11V	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11W	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11X	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11Y	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11Z	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11[	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11\	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11]	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11^	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11_	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11`	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11a	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11b	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11c	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11d	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11e	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11f	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11g	[signaler] IllegalArgumentException	org.argouml.cognitive.ToDoItem	checkOffs(org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.critics.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12A	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] [uncaught] IllegalArgumentException	org.argouml.application.Main	main(String[])	
12B	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
12C	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
12D	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
12E	[signaler] IllegalArgumentException	org.argouml.kernel.MemberList	getMember(java.lang.Class)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.Vector)	CognitiveSuport
