# Result of Exception Analysis....

1A	[signaler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] InvalidPhotoAlbumNameException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
5A	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
5B	[signaler] ImageNotFoundException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	getImageInfo(String)		[handler] ImageNotFoundException	lancs.mobilemedia.core.ui.controller.BaseController	showImage(	
6A	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	resetImageData(	
6B	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
6C	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
6D	[signaler] InvalidImageFormatException	lancs.mobilemedia.core.util.ImageUtil	readImageAsByteArray(String)		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
7A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	resetImageData(	
7B	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
7C	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getAlbumNames(	
7D	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	addImageData(String,String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
8A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageBytesFromRMS(String,String,int)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	showImage(	
9A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	loadImageDataFromRMS(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImageNames(String)	
10A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deletePhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
11A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	deleteSingleImageFromRMS(String,String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
12A	[signaler] PersistenceMechanismException	lancs.mobilemedia.core.ui.datamodel.ImageAccessor	createNewPhotoAlbum(String)		[handler] PersistenceMechanismException	lancs.mobilemedia.core.ui.controller.BaseController	handleCommand(javax.microedition.lcdui.Command,javax.microedition.lcdui.Displayable)	
13A	[signaler] InvalidArrayFormatException	lancs.mobilemedia.core.util.ImageUtil	getImageInfoFromBytes(byte[])		[handler] InvalidImageDataException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImageNames(String)	
14A	[signaler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.datamodel.AlbumData	getImageNames(String)		[handler] UnavailablePhotoAlbumException	lancs.mobilemedia.core.ui.controller.BaseController	showImageList(String)	


# Errors found on analysis....

