# Result of Exception Analysis....

1A	[signaler] NoSuchElementException	org.argouml.util.SingleElementIterator	next(		[handler] Throwable	org.argouml.cognitive.Designer	run(	
3J	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
3K	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
3L	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Throwable	org.argouml.application.Main	main(String[])	
3M	[signaler] RuntimeException	org.argouml.profile.ProfileFacade	notInitialized(String)		[handler] Throwable	org.argouml.application.Main	main(String[])	
4A	[signaler] RuntimeException	org.argouml.profile.internal.ProfileManagerImpl	ProfileManagerImpl(		[handler] Throwable	org.argouml.application.Main	main(String[])	
5A	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
5B	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
5C	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
5D	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	toDoItem(java.lang.Object,org.argouml.cognitive.Designer)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
6A	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	getSupportedDecisions(	CognitiveSuport	[handler] Throwable	org.argouml.cognitive.Designer	run(	
7A	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	addKnowledgeType(String)	CognitiveSuport	[handler] Throwable	org.argouml.application.Main	main(String[])	
8A	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
8B	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
8C	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Throwable	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	
8D	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
8E	[signaler] UnsupportedOperationException	org.argouml.cognitive.CompoundCritic	expand(String,org.argouml.cognitive.ListSet)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9A	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9B	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9C	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9D	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9E	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9F	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9G	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9H	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9I	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9J	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9K	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9L	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9M	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9N	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9O	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9P	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9Q	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9R	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9S	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9T	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9U	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9V	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9W	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9X	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9Y	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9Z	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9[	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9\	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9]	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9^	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
9_	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9`	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9a	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9b	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9c	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9d	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
9e	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9f	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9g	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9h	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9i	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9j	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9k	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
9l	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	addModel(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10A	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10B	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10C	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10D	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10E	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10F	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10G	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10H	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10I	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10J	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10K	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10L	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10M	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10N	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10O	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10P	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10Q	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10R	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10S	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10T	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10U	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10V	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10W	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10X	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10Y	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10Z	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10[	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10\	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10]	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10^	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
10_	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10`	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10a	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10b	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10c	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10d	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
10e	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10f	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10g	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10h	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10i	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10j	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10k	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
10l	[signaler] IllegalArgumentException	org.argouml.kernel.ProjectImpl	setCurrentNamespace(java.lang.Object)		[handler] Throwable	org.argouml.application.Main	main(String[])	
11A	[signaler] IllegalArgumentException	org.argouml.cognitive.ResolvedCritic	ResolvedCritic(org.argouml.cognitive.Critic,org.argouml.cognitive.ListSet,boolean)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
11B	[signaler] IllegalArgumentException	org.argouml.cognitive.ResolvedCritic	ResolvedCritic(org.argouml.cognitive.Critic,org.argouml.cognitive.ListSet,boolean)	CognitiveSuport	[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12A	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12B	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12C	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12D	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12E	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12F	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.Agency	applyCritics(java.lang.Object,org.argouml.cognitive.Designer,java.util.Collection,long)	CognitiveSuport
12G	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12H	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12I	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12J	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12K	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12L	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12M	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
12N	[signaler] IllegalArgumentException	org.argouml.uml.ProjectMemberModel	ProjectMemberModel(java.lang.Object,org.argouml.kernel.Project)		[handler] Exception	org.argouml.cognitive.ToDoList	forceValidityCheck(java.util.List)	CognitiveSuport
